array_type,size,algorithm,threshold,time_ms
random,500,standard,0,972
reversed,500,standard,0,1661
almost_sorted,500,standard,0,1495
random,500,hybrid,5,392
reversed,500,hybrid,5,376
almost_sorted,500,hybrid,5,431
random,500,hybrid,10,213
reversed,500,hybrid,10,180
almost_sorted,500,hybrid,10,273
random,500,hybrid,20,161
reversed,500,hybrid,20,133
almost_sorted,500,hybrid,20,112
random,500,hybrid,30,150
reversed,500,hybrid,30,130
almost_sorted,500,hybrid,30,111
random,500,hybrid,50,143
reversed,500,hybrid,50,140
almost_sorted,500,hybrid,50,75
random,600,standard,0,1016
reversed,600,standard,0,969
almost_sorted,600,standard,0,1176
random,600,hybrid,5,566
reversed,600,hybrid,5,358
almost_sorted,600,hybrid,5,375
random,600,hybrid,10,243
reversed,600,hybrid,10,210
almost_sorted,600,hybrid,10,212
random,600,hybrid,20,206
reversed,600,hybrid,20,244
almost_sorted,600,hybrid,20,130
random,600,hybrid,30,183
reversed,600,hybrid,30,151
almost_sorted,600,hybrid,30,125
random,600,hybrid,50,182
reversed,600,hybrid,50,183
almost_sorted,600,hybrid,50,88
random,700,standard,0,1200
reversed,700,standard,0,1146
almost_sorted,700,standard,0,1115
random,700,hybrid,5,453
reversed,700,hybrid,5,406
almost_sorted,700,hybrid,5,393
random,700,hybrid,10,372
reversed,700,hybrid,10,323
almost_sorted,700,hybrid,10,303
random,700,hybrid,20,278
reversed,700,hybrid,20,230
almost_sorted,700,hybrid,20,207
random,700,hybrid,30,235
reversed,700,hybrid,30,197
almost_sorted,700,hybrid,30,146
random,700,hybrid,50,240
reversed,700,hybrid,50,246
almost_sorted,700,hybrid,50,102
random,800,standard,0,1397
reversed,800,standard,0,1341
almost_sorted,800,standard,0,1368
random,800,hybrid,5,701
reversed,800,hybrid,5,910
almost_sorted,800,hybrid,5,880
random,800,hybrid,10,679
reversed,800,hybrid,10,595
almost_sorted,800,hybrid,10,390
random,800,hybrid,20,336
reversed,800,hybrid,20,313
almost_sorted,800,hybrid,20,215
random,800,hybrid,30,296
reversed,800,hybrid,30,310
almost_sorted,800,hybrid,30,188
random,800,hybrid,50,292
reversed,800,hybrid,50,296
almost_sorted,800,hybrid,50,108
random,900,standard,0,1890
reversed,900,standard,0,1486
almost_sorted,900,standard,0,1457
random,900,hybrid,5,743
reversed,900,hybrid,5,686
almost_sorted,900,hybrid,5,588
random,900,hybrid,10,767
reversed,900,hybrid,10,488
almost_sorted,900,hybrid,10,359
random,900,hybrid,20,435
reversed,900,hybrid,20,296
almost_sorted,900,hybrid,20,249
random,900,hybrid,30,317
reversed,900,hybrid,30,276
almost_sorted,900,hybrid,30,176
random,900,hybrid,50,308
reversed,900,hybrid,50,341
almost_sorted,900,hybrid,50,176
random,1000,standard,0,1732
reversed,1000,standard,0,1645
almost_sorted,1000,standard,0,1737
random,1000,hybrid,5,658
reversed,1000,hybrid,5,590
almost_sorted,1000,hybrid,5,565
random,1000,hybrid,10,465
reversed,1000,hybrid,10,388
almost_sorted,1000,hybrid,10,373
random,1000,hybrid,20,380
reversed,1000,hybrid,20,302
almost_sorted,1000,hybrid,20,280
random,1000,hybrid,30,390
reversed,1000,hybrid,30,293
almost_sorted,1000,hybrid,30,258
random,1000,hybrid,50,347
reversed,1000,hybrid,50,310
almost_sorted,1000,hybrid,50,273
random,1100,standard,0,2177
reversed,1100,standard,0,1828
almost_sorted,1100,standard,0,2104
random,1100,hybrid,5,948
reversed,1100,hybrid,5,1345
almost_sorted,1100,hybrid,5,608
random,1100,hybrid,10,566
reversed,1100,hybrid,10,477
almost_sorted,1100,hybrid,10,395
random,1100,hybrid,20,421
reversed,1100,hybrid,20,330
almost_sorted,1100,hybrid,20,275
random,1100,hybrid,30,441
reversed,1100,hybrid,30,327
almost_sorted,1100,hybrid,30,278
random,1100,hybrid,50,395
reversed,1100,hybrid,50,369
almost_sorted,1100,hybrid,50,206
random,1200,standard,0,2413
reversed,1200,standard,0,2130
almost_sorted,1200,standard,0,2146
random,1200,hybrid,5,856
reversed,1200,hybrid,5,954
almost_sorted,1200,hybrid,5,909
random,1200,hybrid,10,672
reversed,1200,hybrid,10,529
almost_sorted,1200,hybrid,10,582
random,1200,hybrid,20,641
reversed,1200,hybrid,20,367
almost_sorted,1200,hybrid,20,531
random,1200,hybrid,30,752
